pais,metodo_orden,tipo_comercio,linea,tipo_producto,producto,año,cuatrimestre,ventas,cantidad,utilidad_bruta_p,utilidad_bruta,costos
Argentina,Representante,Mayorista,Mascotas,Juguetes,Anitibyx armatus,2019,C1 2019,"$155.040,02","15.562,0","41,19%","$63.864,63","$91.175,39"
Argentina,Mail,De proximidad,Mascotas,Juguetes,Sarcorhamphus papa,2019,C1 2019,"$144.314,49","1.534,0","57,57%","$83.084,42","$61.230,07"
Argentina,Teléfono,Grandes Almacenes,Infantil,Calzado,Oreamnos americanus,2019,C1 2019,"$114.380,59","4.036,0","57,42%","$65.680,44","$48.700,15"
Argentina,Website,Especializado,Hombre,Calzado,Zosterops pallidus,2019,C1 2019,"$144.097,85","991,0","27,39%","$39.475,34","$104.622,51"
Argentina,Website,Especializado,Adultos,Vestimenta,Dusicyon thous,2019,C1 2019,"$110.570,62","4.679,0","68,42%","$75.654,42","$34.916,20"
Argentina,Website,Mayorista,Mujer,Lentes,Amphibolurus barbatus,2019,C1 2019,"$155.013,07","12.260,0","59,69%","$92.534,23","$62.478,84"
Argentina,Teléfono,Especializado,Mujer,Vestimenta,Chordeiles minor,2019,C1 2019,"$92.599,10","7.470,0","39,60%","$36.673,25","$55.925,85"
Argentina,Representante,Hipermercado,Hombre,Lentes,Eolophus roseicapillus,2019,C1 2019,"$141.433,24","10.678,0","64,09%","$90.649,51","$50.783,73"
Argentina,Representante,Grandes Almacenes,Mascotas,Juguetes,Tamandua tetradactyla,2019,C1 2019,"$169.592,83","13.804,0","70,20%","$119.061,15","$50.531,68"
Argentina,Representante,Mayorista,Hombre,Calzado,Zosterops pallidus,2019,C1 2019,"$105.131,12","1.446,0","69,64%","$73.216,31","$31.914,81"
Argentina,Representante,De proximidad,Mascotas,Calzado,Dusicyon thous,2019,C1 2019,"$102.194,47","2.196,0","41,57%","$42.477,78","$59.716,69"
Argentina,Website,Especializado,Unisex,Joyas,Meles meles,2019,C1 2019,"$97.018,53","13.839,0","73,54%","$71.350,13","$25.668,40"
Argentina,Mail,De proximidad,Mascotas,Juguetes,Speotyte cuniculata,2019,C1 2019,"$97.216,05","4.437,0","56,54%","$54.967,62","$42.248,43"
Argentina,Representante,Mayorista,Mascotas,Accesorios,Sus scrofa,2019,C1 2019,"$151.944,67","4.036,0","73,20%","$111.221,33","$40.723,34"
Argentina,Website,Grandes Almacenes,Infantil,Juguetes,Eubalaena australis,2019,C1 2019,"$125.219,92","8.079,0","45,39%","$56.831,10","$68.388,82"
