pais,metodo_orden,tipo_comercio,linea,tipo_producto,producto,año,cuatrimestre,ventas,cantidad,utilidad_bruta_p,utilidad_bruta,costos
Argentina,Representante,Mayorista,Mascotas,Juguetes,Anitibyx armatus,2019.0,C1 2019,155040.02,15562,41.19,63864.63,91175.39
Argentina,Mail,De proximidad,Mascotas,Juguetes,Sarcorhamphus papa,2019.0,C1 2019,144314.49,1534,57.57,83084.42,61230.07
Argentina,Teléfono,Grandes Almacenes,Infantil,Calzado,Oreamnos americanus,2019.0,C1 2019,114380.59,4036,57.42,65680.44,48700.15
Argentina,Website,Especializado,Hombre,Calzado,Zosterops pallidus,2019.0,C1 2019,144097.85,991,27.39,39475.34,104622.51
Argentina,Website,Especializado,Adultos,Vestimenta,Dusicyon thous,2019.0,C1 2019,110570.62,4679,68.42,75654.42,34916.20
Argentina,Website,Mayorista,Mujer,Lentes,Amphibolurus barbatus,2019.0,C1 2019,155013.07,12260,59.69,92534.23,62478.84
Argentina,Teléfono,Especializado,Mujer,Vestimenta,Chordeiles minor,2019.0,C1 2019,92599.10,7470,39.60,36673.25,55925.85
Argentina,Representante,Hipermercado,Hombre,Lentes,Eolophus roseicapillus,2019.0,C1 2019,141433.24,10678,64.09,90649.51,50783.73
Argentina,Representante,Grandes Almacenes,Mascotas,Juguetes,Tamandua tetradactyla,2019.0,C1 2019,169592.83,13804,70.20,119061.15,50531.68
Argentina,Representante,Mayorista,Hombre,Calzado,Zosterops pallidus,2019.0,C1 2019,105131.12,1446,69.64,73216.31,31914.81
Argentina,Representante,De proximidad,Mascotas,Calzado,Dusicyon thous,2019.0,C1 2019,102194.47,2196,41.57,42477.78,59716.69
Argentina,Website,Especializado,Unisex,Joyas,Meles meles,2019.0,C1 2019,97018.53,13839,73.54,71350.13,25668.40
Argentina,Mail,De proximidad,Mascotas,Juguetes,Speotyte cuniculata,2019.0,C1 2019,97216.05,4437,56.54,54967.62,42248.43
Argentina,Representante,Mayorista,Mascotas,Accesorios,Sus scrofa,2019.0,C1 2019,151944.67,4036,73.20,111221.33,40723.34
Argentina,Website,Grandes Almacenes,Infantil,Juguetes,Eubalaena australis,2019.0,C1 2019,125219.92,8079,45.39,56831.10,68388.82
Argentina,Representante,Mayorista,Unisex,Vestimenta,Dusicyon thous,2019.0,C1 2019,182475.61,11651,53.57,97743.33,84732.28
Argentina,Mail,Hipermercado,Infantil,Vestimenta,Falco mexicanus,2019.0,C1 2019,152251.64,1492,65.99,100477.04,51774.60
Argentina,Especial,Grandes Almacenes,Hombre,Lentes,Larus novaehollandiae,2019.0,C1 2019,123631.62,10554,35.54,43934.02,79697.60
Argentina,Representante,Hipermercado,Mujer,Accesorios,Butorides striatus,2019.0,C1 2019,91901.26,13909,56.49,51911.83,39989.43
Argentina,Especial,Hipermercado,Adultos,Juguetes,Eudyptula minor,2019.0,C1 2019,155535.48,17227,66.97,104166.00,51369.48
Argentina,Especial,Mayorista,Mujer,Lentes,Francolinus swainsonii,2019.0,C1 2019,125340.82,5033,72.67,91080.19,34260.63
Argentina,Especial,De proximidad,Adultos,Vestimenta,Phalaropus fulicarius,2019.0,C1 2019,139682.92,15041,65.87,92013.12,47669.80
Argentina,Mail,Grandes Almacenes,Unisex,Lentes,Butorides striatus,2019.0,C1 2019,119588.51,6991,25.98,31063.17,88525.34
Argentina,Representante,Grandes Almacenes,Unisex,Accesorios,Grus canadensis,2019.0,C1 2019,171960.46,15746,31.14,53542.27,118418.19
Argentina,Representante,Mayorista,Infantil,Juguetes,Isoodon obesulus,2019.0,C1 2019,94931.84,14044,51.18,48585.02,46346.82
Argentina,Especial,Especializado,Unisex,Vestimenta,Meles meles,2019.0,C1 2019,152241.34,10965,53.43,81346.38,70894.96
Argentina,Especial,Especializado,Adultos,Accesorios,Genetta genetta,2019.0,C1 2019,125773.66,7709,32.89,41371.65,84402.01
Argentina,Representante,Grandes Almacenes,Mujer,Accesorios,Phoenicopterus ruber,2019.0,C1 2019,143440.09,2903,50.63,72625.90,70814.19
Argentina,Representante,Especializado,Hombre,Juguetes,Dusicyon thous,2019.0,C1 2019,168896.00,4582,47.40,80051.05,88844.95
Argentina,MercadoLibre,Grandes Almacenes,Hombre,Accesorios,Spermophilus parryii,2019.0,C1 2019,119244.01,17254,67.50,80490.26,38753.75
Argentina,Website,Grandes Almacenes,Mujer,Juguetes,Hyaena hyaena,2019.0,C1 2019,163848.44,10352,44.90,73574.81,90273.63
Argentina,Website,Mayorista,Mascotas,Calzado,Myiarchus tuberculifer,2019.0,C1 2019,134273.50,3967,73.21,98300.61,35972.89
Argentina,Teléfono,Especializado,Unisex,Accesorios,Zosterops pallidus,2019.0,C1 2019,172416.92,9844,29.45,50769.13,121647.79
Argentina,Website,Hipermercado,Unisex,Calzado,Antilocapra americana,2019.0,C1 2019,145747.24,1934,32.83,47853.14,97894.10
Argentina,Especial,De proximidad,Mascotas,Lentes,Phalaropus lobatus,2019.0,C1 2019,136858.75,5012,28.49,38988.60,97870.15
Argentina,Especial,De proximidad,Mujer,Juguetes,Anitibyx armatus,2019.0,C1 2019,169702.59,4539,44.48,75488.16,94214.43
Argentina,Website,Hipermercado,Hombre,Lentes,Phalacrocorax carbo,2019.0,C1 2019,91908.90,12507,48.34,44431.29,47477.61
Argentina,Teléfono,Mayorista,Infantil,Accesorios,Phalacrocorax brasilianus,2019.0,C1 2019,176907.08,8403,49.72,87955.69,88951.39
Argentina,Mail,De proximidad,Mujer,Lentes,Francolinus swainsonii,2019.0,C1 2019,99259.51,5965,67.32,66825.70,32433.81
Argentina,MercadoLibre,Especializado,Mujer,Vestimenta,Phoeniconaias minor,2019.0,C1 2019,116624.60,14561,73.04,85183.78,31440.82
Argentina,Website,Especializado,Unisex,Vestimenta,Crax sp.,2019.0,C1 2019,171412.20,12612,46.67,80002.24,91409.96
Argentina,Especial,Grandes Almacenes,Mascotas,Joyas,Chelodina longicollis,2019.0,C1 2019,161245.82,14769,68.05,109732.49,51513.33
Argentina,Website,Hipermercado,Adultos,Lentes,Butorides striatus,2019.0,C1 2019,164433.54,1523,53.37,87765.17,76668.37
Argentina,Representante,De proximidad,Mascotas,Calzado,Antilope cervicapra,2019.0,C1 2019,184661.44,3247,60.75,112190.82,72470.62
Argentina,Especial,De proximidad,Mujer,Accesorios,Zosterops pallidus,2019.0,C1 2019,126761.05,8220,34.43,43646.50,83114.55
Argentina,Mail,Grandes Almacenes,Mujer,Calzado,Heloderma horridum,2019.0,C1 2019,153400.58,12329,43.30,66428.71,86971.87
Argentina,Mail,Mayorista,Mascotas,Juguetes,Eudyptula minor,2019.0,C1 2019,169247.98,9039,52.64,89084.37,80163.61
Argentina,Especial,Grandes Almacenes,Adultos,Vestimenta,Diomedea irrorata,2019.0,C1 2019,173686.34,5758,63.83,110863.46,62822.88
Argentina,Especial,Grandes Almacenes,Unisex,Juguetes,Speotyte cuniculata,2019.0,C1 2019,129685.92,13483,42.34,54907.81,74778.11
Argentina,Mail,Mayorista,Unisex,Juguetes,Sarcorhamphus papa,2019.0,C1 2019,153279.55,10408,70.13,107502.05,45777.50
Argentina,MercadoLibre,De proximidad,Infantil,Accesorios,Carduelis pinus,2019.0,C1 2019,111862.53,8101,39.71,44424.49,67438.04
Argentina,Especial,Mayorista,Hombre,Accesorios,Phalacrocorax brasilianus,2019.0,C1 2019,172088.91,5549,56.53,97276.55,74812.36
Argentina,Teléfono,Mayorista,Infantil,Calzado,Zosterops pallidus,2019.0,C1 2019,95858.31,14368,62.68,60081.36,35776.95
Argentina,Especial,De proximidad,Adultos,Juguetes,Butorides striatus,2019.0,C1 2019,117070.94,11810,43.17,50534.02,66536.92
Argentina,Representante,Mayorista,Mascotas,Accesorios,Grus canadensis,2019.0,C1 2019,99576.07,12227,38.96,38791.19,60784.88
Argentina,Mail,Mayorista,Mujer,Lentes,Theropithecus gelada,2019.0,C1 2019,184580.51,7485,61.27,113095.10,71485.41
Argentina,Teléfono,Mayorista,Adultos,Accesorios,Anthropoides paradisea,2019.0,C1 2019,173340.90,10366,40.22,69709.33,103631.57
Argentina,Especial,Mayorista,Hombre,Lentes,Phalaropus lobatus,2019.0,C1 2019,144375.04,7294,35.20,50817.35,93557.69
Argentina,Representante,Especializado,Mascotas,Vestimenta,Ninox superciliaris,2019.0,C1 2019,97202.96,11501,48.01,46670.01,50532.95
Argentina,Especial,De proximidad,Hombre,Vestimenta,Dusicyon thous,2019.0,C1 2019,176465.29,16487,43.03,75924.64,100540.65
